1.400000e+000	3.200000e+000	4.600000e+000	7.800000e+000	1.240000e+001	
2.020000e+001	3.260000e+001	5.280000e+001	8.540000e+001	1.382000e+002	
2.236000e+002	3.618000e+002	5.854000e+002	9.472000e+002	1.532600e+003	
2.479800e+003	4.012400e+003	6.492200e+003	1.050460e+004	1.699680e+004	
2.750140e+004	4.449820e+004	7.199960e+004	1.164978e+005	1.884974e+005	
3.049952e+005	4.934926e+005	7.984878e+005	1.291980e+006	2.090468e+006	
3.382449e+006	5.472917e+006	8.855365e+006	1.432828e+007	2.318365e+007	
3.751193e+007	6.069558e+007	9.820751e+007	1.589031e+008	2.571106e+008	
4.160137e+008	6.731243e+008	1.089138e+009	1.762262e+009	2.851400e+009	
4.613662e+009	7.465063e+009	1.207872e+010	1.954379e+010	3.162251e+010	
5.116630e+010	8.278881e+010	1.339551e+011	2.167439e+011	3.506990e+011	
5.674430e+011	9.181420e+011	1.485585e+012	2.403727e+012	3.889312e+012	
6.293039e+012	1.018235e+013	1.647539e+013	2.665774e+013	4.313313e+013	
6.979087e+013	1.129240e+014	1.827149e+014	2.956389e+014	4.783537e+014	
7.739926e+014	1.252346e+015	2.026339e+015	3.278685e+015	5.305024e+015	
8.583710e+015	1.388873e+016	2.247244e+016	3.636118e+016	5.883362e+016	
9.519480e+016	1.540284e+017	2.492232e+017	4.032516e+017	6.524749e+017	
1.055726e+018	1.708201e+018	2.763928e+018	4.472129e+018	7.236057e+018	
1.170819e+019	1.894424e+019	3.065243e+019	4.959667e+019	8.024910e+019	
1.298458e+020	2.100949e+020	3.399407e+020	5.500355e+020	8.899762e+020	
1.440012e+021	2.329988e+021	3.770000e+021	6.099987e+021	9.869987e+021	
1.596997e+022	2.583996e+022	4.180994e+022	6.764990e+022	1.094598e+023	
1.771097e+023	2.865696e+023	4.636793e+023	7.502489e+023	1.213928e+024	
1.964177e+024	3.178105e+024	5.142282e+024	8.320387e+024	1.346267e+025	
2.178306e+025	3.524573e+025	5.702878e+025	9.227451e+025	1.493033e+026	
2.415778e+026	3.908811e+026	6.324589e+026	1.023340e+027	1.655799e+027	
2.679139e+027	4.334938e+027	7.014077e+027	1.134901e+028	1.836309e+028	
2.971211e+028	4.807520e+028	7.778730e+028	1.258625e+029	2.036498e+029	
3.295123e+029	5.331621e+029	8.626744e+029	1.395837e+030	2.258511e+030	
3.654347e+030	5.912858e+030	9.567206e+030	1.548006e+031	2.504727e+031	
